Questions	Answer	Wav Filename
What is the capital of France?	Paris	1.wav
Which river is the longest in South America?	Amazon	2.wav
What is the highest mountain peak in North America?	Denali	3.wav
Who was the first president of the United States?	George Washington	4.wav
Which city is located at the intersection of the Tigris and Euphrates rivers?	Baghdad	5.wav
What is the largest planet in our solar system?	Jupiter	6.wav
Which country borders Canada and Mexico?	United States	7.wav
What is the smallest country in the world?	Vatican City	8.wav
Which African country has the largest population?	Nigeria	9.wav
Who was the leader of the Soviet Union during World War II?	Joseph Stalin	10.wav
What is the capital of Australia?	Canberra	11.wav
What is the currency used in Japan	Yen	12.wav
Who painted the famous painting "Mona Lisa"?	Leonardo da Vinci	13.wav
Which lake is the largest by surface area in Africa?	Lake Victoria	14.wav
What is the smallest continent in the world?	Antarctica	15.wav
Who wrote the book "To Kill a Mockingbird"?	Harper Lee	16.wav
 Which mountain range runs between France and Spain?	Pyrenees	17.wav
What is the name of the largest desert in the world?	Antarctica	18.wav
Who discovered the theory of gravity?	Newton	19.wav
What is the largest island in the Mediterranean Sea?	Sicily	20.wav
Which city is known as the "City of Canals"?	Venice	21.wav
What is the highest mountain peak in the contiguous United States?	Whitney	22.wav
What is the name of the largest rainforest in the world?	Amazon	23.wav
What is the name of the largest waterfall in the world?	Victoria Falls	24.wav
What is the capital of Greenland?	Nuuk	25.wav
What is the currency used in India?	Rupee	26.wav
Who painted the famous painting "The Starry Night"?	Vincent van Gogh	27.wav
Which lake is the largest in Asia?	Caspian Sea	28.wav
Who wrote the famous book "Pride and Prejudice"?	Jane Austen	29.wav
Who discovered the theory of evolution?	Charles Darwin	30.wav
Which element is the lightest in the periodic table?	Hydrogen	31.wav
Which bird can fly faster than any other bird?	Peregrine falcon	32.wav
What is the deepest part of the ocean?	Challenger Deep, Mariana Trench	33.wav
Who was the first person to walk on the moon?	Armstrong	34.wav
Which animal has the largest eyes in the world?	Giant squid	35.wav
Who was the youngest President of the United States?	Roosevelt	36.wav
Who was the first woman to fly solo across the Atlantic Ocean?	Earhart	37.wav
What is the largest living thing on Earth?	Great Barrier Reef	38.wav
What is the driest place on Earth?	Atacama Desert	39.wav
Who won the first season of American Idol? 	Kelly Clarkson	40.wav
Who is the lead singer of the band Queen?	Freddie Mercury	41.wav
Who is the founder of Facebook?	zuckerberg	42.wav
What is the capital of china?	Beijing	43.wav
Who wrote the play "Julius Ceaser"?	shakespeare	44.wav
In which book the caracter Sauron appears?	The lord of the rings	45.wav
How many harry potter books exits?	seven	46.wav
What is the largest mamel?	Blue Whale	47.wav
Which dam is located near the city of Las Vegas?	Hoover Dam	48.wav
What is the largest canyon in the world?	Grand canyon	49.wav
What was the name of the ship that the Pilgrims sailed on to come to America?	Mayflower	50.wav
Who was the Roman emperor who was assassinated in 41 AD?	Caligula	51.wav
What was the name of the treaty that ended World War I?	Versailles	52.wav
Who was the leader of the Confederate during the American Civil War?	Jefferson Davis	53.wav
Who was the pharaoh who built the Great Pyramid of Giza?	Khufu	54.wav
What is the name of the most popular music streaming service?	Spotify	55.wav
Who is the lead singer of the band AC/DC?	Johnson	56.wav
What is the name of the famous jazz trumpeter?	Armstrong	57.wav
What is the name of the iconic guitar played by Jimi Hendrix?	Fender Stratocaster	58.wav
Who is the most followed artist on Instagram?	Selena Gomez	59.wav
What is the name of the classic rock band formed in London in 1968?	Led Zeppelin	60.wav
Who is the lead singer of the pop group Destiny's Child?	Beyoncé	61.wav
What is the name of a music festival held in Indio, California every year?	Coachella	62.wav
Where do hobbits live?	Shire	63.wav
What ocean lies between Africa and Europe?	Atlantic	64.wav
Who was the first Roman Emperror?	Ceaser	65.wav
What is the bright object in the night sky that is not a star?	Moon	66.wav
What is the name of the spacecraft that landed on Mars in 2012?	Curiosity	67.wav
Which planet in our solar system has the most moons?	Saturn	68.wav
Who was the first American astronaut to walk in space?	White	69.wav
What is the name of the space telescope launched in 1990?	Hubble	70.wav
What is the name of the closeset start to the sun?	Proxima Centauri	71.wav
Which American city is known as the "City That Never Sleeps"?	New York	72.wav
Which city is the capital of California?	Sacramento	73.wav
What is the largest city in the Midwest?	Chicago	74.wav
Which city is home to the famous Golden Gate Bridge?	San Francisco	75.wav
Which city is known for its vibrant music scene?	Nashville	76.wav
Which city is the birthplace of jazz music?	New Orleans	77.wav
Which city is home to the largest mall in the United States?	Bloomington	78.wav
Which city is known for its craft beer scene?	Portland	79.wav
Which city is the capital of Texas?	Austin	80.wav
Which city is known for its iconic architecture?	Chicago	81.wav
What is the process by which cells produce energy? 	Cellular respiration	82.wav
Which organelle is responsible for producing proteins in a cell?	Ribosome	83.wav
Which scientist is credited with discovering the structure of DNA?	Watson and Crick	84.wav
What is the term for the study of organisms?	Biology	85.wav
Which organism is known for its ability to regenerate its limbs?	Salamanders	86.wav
Which process is the body's natural defense against infection and disease?	Immune system	87.wav
Which organ is responsible for filtering waste products from the blood?	Kidneys	88.wav
Which term refers to the ability of an organism to adapt to its environment?	Evolution	89.wav
Which process is the body's natural response to injury or infection?	Inflammation	90.wav
Which insect is known for its iridescent wings?	Butterfly	91.wav
Which insect is the most common pest in homes?	Cockroach	92.wav
What is the smallest insect in the world?	Fairyflies	93.wav
Which insect is known for its ability to fly in a straight line?	Moth	94.wav
Which insect is the main pollinator of many crops?	Bee	95.wav
Which animal is the most venomous in the world?	Box jellyfish	96.wav
Which animal is known for its majestic mane?	Lion	97.wav
Which animal is the largest land mammal on Earth?	Elephant	98.wav
Which animal is the fastest land animal?	Cheetah	99.wav
Which animal is known for its distinctive black and white stripes?	Zebra	100.wav
Which animal is the largest bird of prey in the world?	Andean condor	101.wav
Which animal is known for its unique ability to change its body color?	Chameleon	102.wav
Which animal is known for its social and intelligent behavior?	Dolphin	103.wav
What is the capital of Spain?	Madrid	104.wav
What is the capital of Morocco?	Rabat	105.wav
What is the capital of Brazil? 	Brasília	106.wav
What is the capital of India?	New Delhi	107.wav
What is the capital of Japan?	Tokyo	108.wav
What is the capital of Mexico?	Mexico City	109.wav
What is the capital of Russia?	Moscow	110.wav
What is the capital of South Korea?	Seoul	111.wav
What is the capital of Turkey?	Ankara	112.wav
What is the capital of Israel?	Jerusalem	113.wav
What is the currency used in Canada?	Canadian dollar	114.wav
How many books are in the Divergent series by Veronica Roth? 	five	115.wav
How many wheels does a bicycle have? 	Two	116.wav
How many legs does a chair have? 	Four	117.wav
How many sides does a circle have? 	None 	118.wav
How many corners does a square have? 	Four	119.wav
How many fingers do humans have on each hand? 	Five	120.wav
How many toes do humans have on each foot? 	Five	121.wav
How many days are there in a week? 	Seven	122.wav
How many hours are there in a day? 	Twenty-four	123.wav
How many minutes are there in an hour? 	Sixty	124.wav
How many seconds are there in a minute? 	Sixty	125.wav
How many wings does a bird have? 	Two	126.wav
How many eyes does a human have? 	Two	127.wav
How many ears does a human have? 	Two	128.wav
How many tentacles does an octopus have? 	None 	129.wav
How many arms does a spider have? 	Eight	130.wav
How many claws does a lobster have? 	Six	131.wav
How many branches does a menorah have? 	Seven	132.wav
How many candles does a Hanukkah menorah have?  	Nine	133.wav
How many points does a Star of David have? 	Six	134.wav
How many sides does a dreidel have? 	Four	135.wav
How many letters does the Hebrew alphabet have? 	Twenty two	136.wav
How many words are in the Shema prayer? 	Two hundred fourty eight	137.wav
How many blessings are in the Amidah prayer? 	Nineteen	138.wav
